"","id_A","id_B","protein_A","protein_B","protein_fullname_A","protein_fullname_B","complexID","uniprot_A","uniprot_B","testB","testA"
"12",10100,10097,"p17787-pro_0000000379","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit beta-2","Neuronal acetylcholine receptor subunit alpha-4","CPX-168","P17787","P43681","p43681","p17787"
"13",10103,10099,"p43681-pro_0000000351","p17787-pro_0000000379","Neuronal acetylcholine receptor subunit alpha-4","Neuronal acetylcholine receptor subunit beta-2","CPX-168","P43681","P17787","p17787","p43681"
"14",10105,10094,"p17787-pro_0000000379","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit beta-2","Neuronal acetylcholine receptor subunit alpha-4","CPX-168","P17787","P43681","p43681","p17787"
"15",10106,10102,"p17787-pro_0000000379","p43681-pro_0000000351","Neuronal acetylcholine receptor subunit beta-2","Neuronal acetylcholine receptor subunit alpha-4","CPX-168","P17787","P43681","p43681","p17787"
"16",14027,14025,"p05067-pro_0000000092","p05067-pro_0000000093","Amyloid-beta protein 42","Amyloid-beta protein 40","CPX-1070","P05067","P05067","p05067","p05067"
"17",13693,13691,"p05067-pro_0000000092","p05067-pro_0000000093","Amyloid-beta protein 42","Amyloid-beta protein 40","CPX-1070","P05067","P05067","p05067","p05067"
"18",14228,14226,"p05067-pro_0000000093","p05067-pro_0000000093","Amyloid-beta protein 40","Amyloid-beta protein 40","CPX-1070","P05067","P05067","p05067","p05067"
"19",13724,13722,"p05067-pro_0000000093","p05067-pro_0000000093","Amyloid-beta protein 40","Amyloid-beta protein 40","CPX-1069","P05067","P05067","p05067","p05067"
"20",14042,14040,"p05067-pro_0000000092","p05067-pro_0000000092","Amyloid-beta protein 42","Amyloid-beta protein 42","CPX-1070","P05067","P05067","p05067","p05067"
"21",13731,13729,"p05067-pro_0000000092","p05067-pro_0000000092","Amyloid-beta protein 42","Amyloid-beta protein 42","CPX-1070","P05067","P05067","p05067","p05067"
"22",9876,9874,"p15309-pro_0000023963","p15309-pro_0000023963","Prostatic acid phosphatase","Prostatic acid phosphatase","CPX-120","P15309","P15309","p15309","p15309"
"23",12537,12535,"s10aa_human","ahnk_human","Protein S100-A10","Neuroblast differentiation-associated protein AHNAK","CPX-850","P60903","Q09666","ahnk_human","s10aa_human"
"24",12541,12539,"s10aa_human","s10aa_human","Protein S100-A10","Protein S100-A10","CPX-850","P60903","P60903","s10aa_human","s10aa_human"
"25",12543,12535,"s10aa_human","ahnk_human","Protein S100-A10","Neuroblast differentiation-associated protein AHNAK","CPX-850","P60903","Q09666","ahnk_human","s10aa_human"
"26",12545,12535,"anxa2_human","ahnk_human","Annexin A2","Neuroblast differentiation-associated protein AHNAK","CPX-850","P07355","Q09666","ahnk_human","anxa2_human"
"27",12546,12538,"anxa2_human","s10aa_human","Annexin A2","Protein S100-A10","CPX-850","P07355","P60903","s10aa_human","anxa2_human"
"28",12547,12531,"anxa2_human","calcium(2+)","Annexin A2",NA,"CPX-850","P07355",NA,"calcium(2+)","anxa2_human"
"29",12549,12533,"anxa2_human","calcium(2+)","Annexin A2",NA,"CPX-850","P07355",NA,"calcium(2+)","anxa2_human"
"30",12550,12535,"anxa2_human","ahnk_human","Annexin A2","Neuroblast differentiation-associated protein AHNAK","CPX-850","P07355","Q09666","ahnk_human","anxa2_human"
"31",12551,12542,"anxa2_human","s10aa_human","Annexin A2","Protein S100-A10","CPX-850","P07355","P60903","s10aa_human","anxa2_human"
"32",12537,12535,"s10aa_human","ahnk_human","Protein S100-A10","Neuroblast differentiation-associated protein AHNAK","CPX-850","P60903","Q09666","ahnk_human","s10aa_human"
"33",12541,12539,"s10aa_human","s10aa_human","Protein S100-A10","Protein S100-A10","CPX-850","P60903","P60903","s10aa_human","s10aa_human"
"34",12543,12535,"s10aa_human","ahnk_human","Protein S100-A10","Neuroblast differentiation-associated protein AHNAK","CPX-850","P60903","Q09666","ahnk_human","s10aa_human"
"35",12545,12535,"anxa2_human","ahnk_human","Annexin A2","Neuroblast differentiation-associated protein AHNAK","CPX-850","P07355","Q09666","ahnk_human","anxa2_human"
"36",12546,12538,"anxa2_human","s10aa_human","Annexin A2","Protein S100-A10","CPX-850","P07355","P60903","s10aa_human","anxa2_human"
"37",12547,12531,"anxa2_human","calcium(2+)","Annexin A2",NA,"CPX-850","P07355",NA,"calcium(2+)","anxa2_human"
"38",12549,12533,"anxa2_human","calcium(2+)","Annexin A2",NA,"CPX-850","P07355",NA,"calcium(2+)","anxa2_human"
"39",12550,12535,"anxa2_human","ahnk_human","Annexin A2","Neuroblast differentiation-associated protein AHNAK","CPX-850","P07355","Q09666","ahnk_human","anxa2_human"
"40",12551,12542,"anxa2_human","s10aa_human","Annexin A2","Protein S100-A10","CPX-850","P07355","P60903","s10aa_human","anxa2_human"
"41",15464,15462,"ncbp1_human","ncbp3_human","Nuclear cap-binding protein subunit 1","Nuclear cap-binding protein subunit 3","CPX-3624","Q09161","Q53F19","ncbp3_human","ncbp1_human"
"42",17099,17097,"calrl_human","o60895-pro_0000030172","Calcitonin gene-related peptide type 1 receptor","Receptor activity-modifying protein 2","CPX-2191","Q16602","O60895","o60895","calrl_human"
"43",17917,17915,"o60896-pro_0000030176","calrl_human","Receptor activity-modifying protein 3","Calcitonin gene-related peptide type 1 receptor","CPX-3148","O60896","Q16602","calrl_human","o60896"
"44",17001,16999,"calcr_human","ramp1_human","Calcitonin receptor","Receptor activity-modifying protein 1","CPX-2173","P30988","O60894","ramp1_human","calcr_human"
"45",17966,17964,"ramp2_human","calcr_human","Receptor activity-modifying protein 2","Calcitonin receptor","CPX-3186","O60895","P30988","calcr_human","ramp2_human"
"46",17974,17972,"ramp3_human","calcr_human","Receptor activity-modifying protein 3","Calcitonin receptor","CPX-3187","O60896","P30988","calcr_human","ramp3_human"
"47",17974,17972,"ramp3_human","calcr_human","Receptor activity-modifying protein 3","Calcitonin receptor","CPX-3187","O60896","P30988","calcr_human","ramp3_human"
"48",9915,9913,"anxa2_human","pcsk9_human","Annexin A2","Proprotein convertase subtilisin/kexin type 9","CPX-130","P07355","Q8NBP7","pcsk9_human","anxa2_human"
"49",12586,12583,"hltf_human","hltf_human","Helicase-like transcription factor","Helicase-like transcription factor","CPX-856","Q14527","Q14527","hltf_human","hltf_human"
"50",12591,12581,"s10aa_human","hltf_human","Protein S100-A10","Helicase-like transcription factor","CPX-856","P60903","Q14527","hltf_human","s10aa_human"
"51",12593,12589,"s10aa_human","s10aa_human","Protein S100-A10","Protein S100-A10","CPX-856","P60903","P60903","s10aa_human","s10aa_human"
"52",12595,12585,"s10aa_human","hltf_human","Protein S100-A10","Helicase-like transcription factor","CPX-856","P60903","Q14527","hltf_human","s10aa_human"
"53",12597,12582,"anxa2_human","hltf_human","Annexin A2","Helicase-like transcription factor","CPX-856","P07355","Q14527","hltf_human","anxa2_human"
"54",12598,12590,"anxa2_human","s10aa_human","Annexin A2","Protein S100-A10","CPX-856","P07355","P60903","s10aa_human","anxa2_human"
"55",12600,12594,"anxa2_human","s10aa_human","Annexin A2","Protein S100-A10","CPX-856","P07355","P60903","s10aa_human","anxa2_human"
"56",12601,12587,"anxa2_human","hltf_human","Annexin A2","Helicase-like transcription factor","CPX-856","P07355","Q14527","hltf_human","anxa2_human"
"57",12562,12559,"s10aa_human","s10aa_human","Protein S100-A10","Protein S100-A10","CPX-853","P60903","P60903","s10aa_human","s10aa_human"
"58",12564,12558,"anxa2_human","s10aa_human","Annexin A2","Protein S100-A10","CPX-853","P07355","P60903","s10aa_human","anxa2_human"
"59",12568,12561,"anxa2_human","s10aa_human","Annexin A2","Protein S100-A10","CPX-853","P07355","P60903","s10aa_human","anxa2_human"
"60",12572,12566,"calcium(2+)","anxa2_human",NA,"Annexin A2","CPX-853",NA,"P07355","anxa2_human","calcium(2+)"
"61",12574,12570,"calcium(2+)","anxa2_human",NA,"Annexin A2","CPX-853",NA,"P07355","anxa2_human","calcium(2+)"
"62",15572,15564,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"63",15573,15568,"cyc_human","iron","Cytochrome c","iron","CPX-3762","P99999",NA,"iron","cyc_human"
"64",15578,15556,"cyc_human","apaf_human","Cytochrome c","Apoptotic protease-activating factor 1","CPX-3762","P99999","O14727","apaf_human","cyc_human"
"65",15581,15570,"cyc_human","iron","Cytochrome c","iron","CPX-3762","P99999",NA,"iron","cyc_human"
"66",15585,15566,"cyc_human","iron","Cytochrome c","iron","CPX-3762","P99999",NA,"iron","cyc_human"
"67",15588,15558,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"68",15592,15560,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"69",15596,15554,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"70",15597,15555,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"71",15598,15574,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"72",15601,15582,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"73",15604,15590,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"74",15606,15589,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"75",15608,15584,"heme","cyc_human","heme","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","heme"
"76",15610,15593,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"77",15615,15562,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"78",15620,15617,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"79",15622,15613,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"80",15624,15551,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"81",15626,15545,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"82",15628,15548,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"83",15631,15603,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"84",15632,15586,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"85",15634,15630,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"86",15635,15603,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"87",15636,15594,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"88",15638,15580,"heme","cyc_human","heme","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","heme"
"89",15640,15616,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"90",15642,15576,"heme","cyc_human","heme","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","heme"
"91",15644,15577,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"92",15572,15564,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"93",15573,15568,"cyc_human","iron","Cytochrome c","iron","CPX-3762","P99999",NA,"iron","cyc_human"
"94",15578,15556,"cyc_human","apaf_human","Cytochrome c","Apoptotic protease-activating factor 1","CPX-3762","P99999","O14727","apaf_human","cyc_human"
"95",15581,15570,"cyc_human","iron","Cytochrome c","iron","CPX-3762","P99999",NA,"iron","cyc_human"
"96",15585,15566,"cyc_human","iron","Cytochrome c","iron","CPX-3762","P99999",NA,"iron","cyc_human"
"97",15588,15558,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"98",15592,15560,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"99",15596,15554,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"100",15597,15555,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"101",15598,15574,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"102",15601,15582,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"103",15604,15590,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"104",15606,15589,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"105",15608,15584,"heme","cyc_human","heme","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","heme"
"106",15610,15593,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"107",15615,15562,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"108",15620,15617,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"109",15622,15613,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"110",15624,15551,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"111",15626,15545,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"112",15628,15548,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"113",15631,15603,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"114",15632,15586,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"115",15634,15630,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"116",15635,15603,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"117",15636,15594,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"118",15638,15580,"heme","cyc_human","heme","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","heme"
"119",15640,15616,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"120",15642,15576,"heme","cyc_human","heme","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","heme"
"121",15644,15577,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"122",15572,15564,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"123",15573,15568,"cyc_human","iron","Cytochrome c","iron","CPX-3762","P99999",NA,"iron","cyc_human"
"124",15578,15556,"cyc_human","apaf_human","Cytochrome c","Apoptotic protease-activating factor 1","CPX-3762","P99999","O14727","apaf_human","cyc_human"
"125",15581,15570,"cyc_human","iron","Cytochrome c","iron","CPX-3762","P99999",NA,"iron","cyc_human"
"126",15585,15566,"cyc_human","iron","Cytochrome c","iron","CPX-3762","P99999",NA,"iron","cyc_human"
"127",15588,15558,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"128",15592,15560,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"129",15596,15554,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"130",15597,15555,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"131",15598,15574,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"132",15601,15582,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"133",15604,15590,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"134",15606,15589,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"135",15608,15584,"heme","cyc_human","heme","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","heme"
"136",15610,15593,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"137",15615,15562,"cyc_human","heme","Cytochrome c","heme","CPX-3762","P99999",NA,"heme","cyc_human"
"138",15620,15617,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"139",15622,15613,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"140",15624,15551,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"141",15626,15545,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"142",15628,15548,"p55211-pro_0000004643","p55211-pro_0000004641","Caspase-9 subunit p10","Caspase-9 subunit p35","CPX-3762","P55211","P55211","p55211","p55211"
"143",15631,15603,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"144",15632,15586,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"145",15634,15630,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"146",15635,15603,"apaf_human","apaf_human","Apoptotic protease-activating factor 1","Apoptotic protease-activating factor 1","CPX-3762","O14727","O14727","apaf_human","apaf_human"
"147",15636,15594,"apaf_human","cyc_human","Apoptotic protease-activating factor 1","Cytochrome c","CPX-3762","O14727","P99999","cyc_human","apaf_human"
"148",15638,15580,"heme","cyc_human","heme","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","heme"
"149",15640,15616,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"150",15642,15576,"heme","cyc_human","heme","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","heme"
"151",15644,15577,"iron","cyc_human","iron","Cytochrome c","CPX-3762",NA,"P99999","cyc_human","iron"
"152",10161,10159,"atg5_human","a16l1_human","Autophagy protein 5","Autophagy-related protein 16-1","CPX-200","Q9H1Y0","Q676U5","a16l1_human","atg5_human"
"153",10164,10162,"atg12_human","atg5_human","Ubiquitin-like protein ATG12","Autophagy protein 5","CPX-200","O94817","Q9H1Y0","atg5_human","atg12_human"
"154",10659,10657,"atg5_human","a16l2_human","Autophagy protein 5","Autophagy-related protein 16-2","CPX-354","Q9H1Y0","Q8NAA4","a16l2_human","atg5_human"
"155",10662,10660,"atg12_human","atg5_human","Ubiquitin-like protein ATG12","Autophagy protein 5","CPX-354","O94817","Q9H1Y0","atg5_human","atg12_human"
"156",10679,10677,"atg5_human","atg12_human","Autophagy protein 5","Ubiquitin-like protein ATG12","CPX-358","Q9H1Y0","O94817","atg12_human","atg5_human"
"157",10682,10680,"tcpr1_human","atg5_human","Tectonin beta-propeller repeat-containing protein 1","Autophagy protein 5","CPX-358","Q7Z6L1","Q9H1Y0","atg5_human","tcpr1_human"
"158",10670,10668,"atg12_human","atg5_human","Ubiquitin-like protein ATG12","Autophagy protein 5","CPX-357","O94817","Q9H1Y0","atg5_human","atg12_human"
"159",16929,16927,"atp4b_human","atp4a_human","Potassium-transporting ATPase subunit beta","Potassium-transporting ATPase alpha chain 1","CPX-2160","P51164","P20648","atp4a_human","atp4b_human"
"160",15456,15454,"atr_human","atrip_human","Serine/threonine-protein kinase ATR","ATR-interacting protein","CPX-3622","Q13535","Q8WXE1","atrip_human","atr_human"
"161",13822,13820,"baz1b_human","smca5_human","Tyrosine-protein kinase BAZ1B","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5","CPX-1099","Q9UIG0","O60264","smca5_human","baz1b_human"
"162",16557,16555,"bad_human","bcl2_human","Bcl2-associated agonist of cell death","Apoptosis regulator Bcl-2","CPX-1982","Q92934","P10415","bcl2_human","bad_human"
"163",16565,16563,"bad_human","q07817-1","Bcl2-associated agonist of cell death","Bcl-2-like protein 1","CPX-1983","Q92934","q07817","q07817","bad_human"
"164",14101,14099,"ari1a_human","smca2_human","AT-rich interactive domain-containing protein 1A","Probable global transcription activator SNF2L2","CPX-1164","O14497","P51531","smca2_human","ari1a_human"
"165",14110,14108,"snf5_human","smrc1_human","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","SWI/SNF complex subunit SMARCC1","CPX-1164","Q12824","Q92922","smrc1_human","snf5_human"
"166",14113,14098,"acl6a_human","smca2_human","Actin-like protein 6A","Probable global transcription activator SNF2L2","CPX-1164","O96019","P51531","smca2_human","acl6a_human"
"167",14480,14478,"snf5_human","smrc1_human","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","SWI/SNF complex subunit SMARCC1","CPX-1204","Q12824","Q92922","smrc1_human","snf5_human"
"168",14483,14471,"smca4_human","ari1a_human","Transcription activator BRG1","AT-rich interactive domain-containing protein 1A","CPX-1204","P51532","O14497","ari1a_human","smca4_human"
"169",14486,14484,"actb_human","smca4_human","Actin, cytoplasmic 1","Transcription activator BRG1","CPX-1204","P60709","P51532","smca4_human","actb_human"
"170",14488,14482,"acl6a_human","smca4_human","Actin-like protein 6A","Transcription activator BRG1","CPX-1204","O96019","P51532","smca4_human","acl6a_human"
"171",14480,14478,"snf5_human","smrc1_human","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","SWI/SNF complex subunit SMARCC1","CPX-1204","Q12824","Q92922","smrc1_human","snf5_human"
"172",14483,14471,"smca4_human","ari1a_human","Transcription activator BRG1","AT-rich interactive domain-containing protein 1A","CPX-1204","P51532","O14497","ari1a_human","smca4_human"
"173",14486,14484,"actb_human","smca4_human","Actin, cytoplasmic 1","Transcription activator BRG1","CPX-1204","P60709","P51532","smca4_human","actb_human"
"174",14488,14482,"acl6a_human","smca4_human","Actin-like protein 6A","Transcription activator BRG1","CPX-1204","O96019","P51532","smca4_human","acl6a_human"
"175",14542,14540,"snf5_human","smrc1_human","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","SWI/SNF complex subunit SMARCC1","CPX-1206","Q12824","Q92922","smrc1_human","snf5_human"
"176",14546,14533,"smca4_human","ari1b_human","Transcription activator BRG1","AT-rich interactive domain-containing protein 1B","CPX-1206","P51532","Q8NFD5","ari1b_human","smca4_human"
"177",14548,14544,"actb_human","smca4_human","Actin, cytoplasmic 1","Transcription activator BRG1","CPX-1206","P60709","P51532","smca4_human","actb_human"
"178",14550,14545,"acl6a_human","smca4_human","Actin-like protein 6A","Transcription activator BRG1","CPX-1206","O96019","P51532","smca4_human","acl6a_human"
"179",14568,14566,"ari1a_human","smca2_human","AT-rich interactive domain-containing protein 1A","Probable global transcription activator SNF2L2","CPX-1207","O14497","P51531","smca2_human","ari1a_human"
"180",14577,14575,"snf5_human","smrc1_human","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","SWI/SNF complex subunit SMARCC1","CPX-1207","Q12824","Q92922","smrc1_human","snf5_human"
"181",14580,14565,"acl6b_human","smca2_human","Actin-like protein 6B","Probable global transcription activator SNF2L2","CPX-1207","O94805","P51531","smca2_human","acl6b_human"
"182",14604,14602,"snf5_human","smrc1_human","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","SWI/SNF complex subunit SMARCC1","CPX-1209","Q12824","Q92922","smrc1_human","snf5_human"
